wpd84,,559243.791,3371397.130,27.152
wpd85,,559242.408,3371396.833,27.158
wpd86,,559242.348,3371396.317,27.118
wpd87,,559239.549,3371397.875,28.030
pd75,,559247.728,3371416.387,26.818
jjpd76,,559227.295,3371439.082,26.849
ijjpd77,,559232.551,3371439.588,26.836
ijjpd78,,559232.269,3371436.525,26.844
ijjpd79,,559240.897,3371437.092,26.864
ijjpd80,,559240.310,3371439.965,26.888
jjpd81,,559256.430,3371441.195,26.816
pd76,,559257.977,3371422.126,26.816
pd77,,559262.972,3371426.991,26.816
pd78,,559267.250,3371433.338,26.823
pd79,,559269.683,3371439.163,26.752
pd80,,559270.529,3371442.217,26.749
jjpd81,,559270.244,3371442.214,26.764
pd82,,559271.248,3371447.646,26.759
pd83,,559271.260,3371452.603,26.764
pd84,,559270.527,3371463.241,26.752
pd85,,559268.326,3371494.652,26.760
JJpd86,,559266.589,3371494.606,26.771
JJpd87,,559266.594,3371494.616,26.777
pd86,,559265.428,3371536.066,26.798
pd87,,559264.576,3371542.105,26.772
pd88,,559263.073,3371547.133,26.763
JJpd88,,559262.890,3371546.956,26.761
pd89,,559261.855,3371549.866,26.752
pd90,,559260.378,3371552.618,26.837
pd91,,559257.347,3371556.917,26.832
pd92,,559250.763,3371563.155,26.803
apd93,,559253.510,3371554.291,26.758
apd94,,559253.008,3371552.241,26.773
apd95,,559253.088,3371553.288,26.757
apd96,,559236.628,3371551.077,26.806
apd97,,559236.597,3371553.392,26.806
apd98,,559237.357,3371557.994,26.781
apd99,,559239.478,3371562.732,26.773
pd93,,559241.862,3371567.867,26.803
pd94,,559237.395,3371569.151,26.807
pd95,,559229.998,3371569.996,26.810
pd96,,559226.550,3371569.845,26.810
pd97,,559221.323,3371568.999,26.814
pd98,,559217.044,3371567.657,26.822
pd99,,559212.408,3371565.501,26.814
pd100,,559207.162,3371561.960,26.818
pd101,,559202.735,3371557.689,26.805
pd102,,559199.429,3371553.221,26.807
pd103,,559196.594,3371547.680,26.798
pd104,,559195.661,3371545.124,26.749
pd105,,559194.901,3371542.421,26.752
apd100,,559204.067,3371548.765,26.747
apd101,,559203.839,3371549.717,26.740
apd102,,559203.292,3371550.692,26.747
apd103,,559216.104,3371561.050,26.781
apd104,,559217.843,3371558.553,26.781
apd105,,559219.590,3371554.729,26.793
apd106,,559220.502,3371549.955,26.844
JJpd107,,559216.408,3371543.573,26.861
iJJpd108,,559225.167,3371544.065,26.874
iJJpd109,,559224.451,3371547.171,26.838
iJJpd110,,559233.082,3371547.753,26.877
iJJpd111,,559232.840,3371544.623,26.916
JJpd112,,559241.088,3371545.363,26.858
opd1,,559278.961,3371571.360,26.748
opd2,,559262.329,3371579.106,26.799
opd3,,559244.992,3371583.194,26.795
opd4,,559223.729,3371583.570,26.816
opd5,,559201.663,3371578.676,26.788
opd6,,559184.370,3371570.348,26.785
opd7,,559175.302,3371563.937,26.828
opd8,,559186.003,3371412.952,26.781
opd9,,559194.240,3371408.691,26.769
opd10,,559207.692,3371403.740,26.800
opd11,,559229.493,3371400.358,26.796
opd12,,559239.161,3371400.452,26.795
opd13,,559249.496,3371401.888,26.802
opd14,,559266.957,3371406.941,26.819
opd15,,559276.743,3371411.489,26.786
opd16,,559286.305,3371417.577,26.787
opd17,,559289.724,3371420.214,26.781
